 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5890   2.9100  21.0000   0.2841   4.0933  0.29761E+02  0.29759E+02  0.14957E-02  0.32560E+02  0.10714E-02  0.45100E+00  0.32108E+02  0.10016E+01
   10.5890   2.9200  21.0000   0.2854   4.1074  0.29608E+02  0.29606E+02  0.15036E-02  0.32342E+02  0.10076E-02  0.44143E+00  0.31900E+02  0.10016E+01
   10.5890   2.9300  21.0000   0.2868   4.1214  0.29455E+02  0.29454E+02  0.15116E-02  0.32129E+02  0.94760E-03  0.43208E+00  0.31696E+02  0.10016E+01
   10.5890   2.9400  21.0000   0.2881   4.1355  0.29304E+02  0.29302E+02  0.15196E-02  0.31919E+02  0.89124E-03  0.42293E+00  0.31495E+02  0.10016E+01
   10.5890   2.9500  21.0000   0.2895   4.1496  0.29152E+02  0.29151E+02  0.15277E-02  0.31708E+02  0.83832E-03  0.41399E+00  0.31293E+02  0.10016E+01
   10.5890   2.9600  21.0000   0.2908   4.1636  0.29002E+02  0.29000E+02  0.15360E-02  0.31499E+02  0.78864E-03  0.40524E+00  0.31093E+02  0.10016E+01
   10.5890   2.9700  21.0000   0.2922   4.1777  0.28851E+02  0.28850E+02  0.15442E-02  0.31291E+02  0.74202E-03  0.39668E+00  0.30893E+02  0.10016E+01
   10.5890   2.9800  21.0000   0.2936   4.1918  0.28701E+02  0.28700E+02  0.15526E-02  0.31083E+02  0.69830E-03  0.38832E+00  0.30694E+02  0.10016E+01
   10.5890   2.9900  21.0000   0.2949   4.2058  0.28552E+02  0.28550E+02  0.15611E-02  0.30876E+02  0.65730E-03  0.38014E+00  0.30495E+02  0.10016E+01
   10.5890   3.0000  21.0000   0.2963   4.2199  0.28403E+02  0.28401E+02  0.15696E-02  0.30672E+02  0.61888E-03  0.37214E+00  0.30299E+02  0.10016E+01
   10.5890   3.0100  21.0000   0.2977   4.2340  0.28255E+02  0.28253E+02  0.15782E-02  0.30468E+02  0.58289E-03  0.36432E+00  0.30103E+02  0.10016E+01
   10.5890   3.0200  21.0000   0.2991   4.2480  0.28106E+02  0.28105E+02  0.15869E-02  0.30267E+02  0.54918E-03  0.35667E+00  0.29910E+02  0.10016E+01
   10.5890   3.0300  21.0000   0.3005   4.2621  0.27959E+02  0.27957E+02  0.15957E-02  0.30066E+02  0.51764E-03  0.34918E+00  0.29717E+02  0.10016E+01
   10.5890   3.0400  21.0000   0.3019   4.2762  0.27812E+02  0.27810E+02  0.16045E-02  0.29866E+02  0.48812E-03  0.34187E+00  0.29523E+02  0.10016E+01
   10.5890   3.0500  21.0000   0.3033   4.2902  0.27665E+02  0.27663E+02  0.16135E-02  0.29663E+02  0.46051E-03  0.33471E+00  0.29328E+02  0.10016E+01
   10.5890   3.0600  21.0000   0.3047   4.3043  0.27519E+02  0.27517E+02  0.16225E-02  0.29463E+02  0.43470E-03  0.32772E+00  0.29135E+02  0.10016E+01
   10.5890   3.0700  21.0000   0.3061   4.3184  0.27373E+02  0.27371E+02  0.16317E-02  0.29265E+02  0.41058E-03  0.32087E+00  0.28943E+02  0.10016E+01
   10.5890   3.0800  21.0000   0.3075   4.3324  0.27227E+02  0.27226E+02  0.16409E-02  0.29066E+02  0.38805E-03  0.31418E+00  0.28752E+02  0.10016E+01
   10.5890   3.0900  21.0000   0.3089   4.3465  0.27082E+02  0.27081E+02  0.16502E-02  0.28868E+02  0.36701E-03  0.30764E+00  0.28560E+02  0.10016E+01
   10.5890   3.1000  21.0000   0.3103   4.3606  0.26937E+02  0.26936E+02  0.16596E-02  0.28676E+02  0.34736E-03  0.30124E+00  0.28374E+02  0.10017E+01
   10.5890   3.1100  21.0000   0.3117   4.3746  0.26787E+02  0.26786E+02  0.16689E-02  0.28480E+02  0.32904E-03  0.29498E+00  0.28185E+02  0.10017E+01
   10.5890   3.1200  21.0000   0.3131   4.3887  0.26638E+02  0.26636E+02  0.16785E-02  0.28283E+02  0.31193E-03  0.28886E+00  0.27994E+02  0.10017E+01
   10.5890   3.1300  21.0000   0.3145   4.4028  0.26488E+02  0.26487E+02  0.16882E-02  0.28087E+02  0.29599E-03  0.28287E+00  0.27804E+02  0.10017E+01
   10.5890   3.1400  21.0000   0.3160   4.4168  0.26340E+02  0.26338E+02  0.16980E-02  0.27893E+02  0.28112E-03  0.27674E+00  0.27616E+02  0.10017E+01
   10.5890   3.1500  21.0000   0.3174   4.4309  0.26191E+02  0.26190E+02  0.17078E-02  0.27700E+02  0.26722E-03  0.27097E+00  0.27429E+02  0.10017E+01
   10.5890   3.1600  21.0000   0.3188   4.4450  0.26043E+02  0.26042E+02  0.17178E-02  0.27509E+02  0.25435E-03  0.26547E+00  0.27243E+02  0.10018E+01
   10.5890   3.1700  21.0000   0.3203   4.4590  0.25896E+02  0.25894E+02  0.17279E-02  0.27317E+02  0.24232E-03  0.26000E+00  0.27057E+02  0.10018E+01
